Κωδικός,Πιάτο,Λόγος
311,"Smoothie με μπανάνα, καρότο και βερίκοκο",νέο πιάτο
312,"Smoothie με φράουλα, μπανάνα, μήλο και μαύρο κορότο",νέο πιάτο
313,"Protein Smoothie με γιαούρτι, ανανά και πορτοκάλι",νέο πιάτο
314,"Protein Smoothie με γιαούρτι, φράουλα και αρώνια",νέο πιάτο
315,"Energy Shot με μάνγκο, τζίντζερ, λεμόνι και μέλι",νέο πιάτο
316,Immunity Shot με τζίντζερ και lime,νέο πιάτο
317,"ChiaDia Straberry με μήλο, chia και σιρόπι αγαύης",νέο πιάτο
318,Iced Tea ροδάκινο,νέο πιάτο
319,"Σαλάτα με καρπούζι, κοτόπουλο σχάρας, κινόα και φέτα light",νέο πιάτο
320,Μακαρονοσαλάτα με βίδες ολικής και κοτόπουλο σχάρας,νέο πιάτο
321,"Ντάκος με χταποδοσαλάτα, ντοματίνια, αγγούρι και κρέμα ταραμά",νέο πιάτο
322,Κρύα σούπα Gazpacho τομάτας με φέτα light,νέο πιάτο
323,Κρύα σούπα βελουτέ αρακά με κατίκι δομοκού και σπιτικά κρουτόν,νέο πιάτο
324,Κοκκινιστός αρακάς με κοπανάκια κοτόπουλου,νέο πιάτο
325,Κοτόπουλο με σάλτσα φυστικοβούτυρου και ρύζι basmati,νέο πιάτο
326,Μοσχαράκι κοκκινιστό με ρύζι basmati,νέο πιάτο
327,Pulled Μοσχαράκι Birria με σάλτσα Adobo και ρύζι basmati,νέο πιάτο
328,Μοσχαρίσιο Σοφρίτο με λευκό κρασί και ρύζι basmati,νέο πιάτο
329,Λεμονάτη τηγανιά κοτόπουλο με ρύζι basmati,νέο πιάτο
330,Κοτόπουλο μπούτι μαριναρισμένο με μουστάρδα και πατάτες φούρνου,νέο πιάτο
272,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,άλλαξε εικόνα (AA≠AB)
290,"Χωριάτικη σαλάτα με ντοματίνια, αγγούρι, φέτα, πράσινη πιπεριά, κόκκινο κρεμμύδι, ελιές, κρίταμο, ρίγανη, παξιμαδάκια χαρουπιού και ελαιόλαδο",άλλαξε εικόνα (AA≠AB)
294,"Τσιπούρα ψητή με πλιγούρι, ντοματίνια και μαϊντανό",άλλαξε εικόνα (AA≠AB)
295,Μπριζολάκια λαιμού με baby πατάτες,άλλαξε εικόνα (AA≠AB)
296,Μοσχαράκι λεμονάτο με ρύζι basmati,άλλαξε εικόνα (AA≠AB)
298,"Harissa Chicken Bowl με ρύζι basmati, πράσινη σαλάτα, κοτόπουλο harissa, παντζάρι με ανθότυρο, καλαμπόκι, ντοματίνια και olive oil lemon dressing",άλλαξε εικόνα (AA≠AB)
299,"Mediterranean Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, ελιές φιλέτο, χούμους, αγγούρι, ντοματίνια, φέτα light και olive oil lemon dressing",άλλαξε εικόνα (AA≠AB)
300,"Teriyaki Salmon Bowl με καστανό ρύζι, σολομός σχάρας, guacamole, αγγούρι, καλαμπόκι, σουσάμι και sesame-teriyaki dressing",άλλαξε εικόνα (AA≠AB)
301,"Mango Salmon Bowl με ρύζι basmati, σολομός σχάρας, πράσινη σαλάτα, κάσιους, guacamole, ντοματίνια, πίκλα κόκκινο λάχανο και mango-lime dressing",άλλαξε εικόνα (AA≠AB)
302,"Steak Protein Bowl με ρύζι basmati, μοσχάρι σχάρας, πράσινη σαλάτα, χούμους, ντοματίνια, broccoli coleslaw, κόκκινο λάχανο πίκλα και dressing βαλσάμικο",άλλαξε εικόνα (AA≠AB)
303,"Steakhouse Bowl με καστανό ρύζι, μοσχάρι σχάρας, πράσινη σαλάτα, feta chili cream, αγγούρι, crispy onion και garlic aioli dressing",άλλαξε εικόνα (AA≠AB)
304,"Tuna Mediterranean Bowl με ρύζι basmati, τόνος, πράσινη σαλάτα, χούμους, κάπαρη, ντοματίνια, ελιές φιλέτο και olive oil lemon dressing",άλλαξε εικόνα (AA≠AB)
305,"Falafel Vegan Bowl ρύζι basmati, falafel φούρνου, τόφου, πράσινη σαλάτα, χούμους, αγγούρι, πίκλα κόκκινο λάχανο, broccolli vegan coleslaw και tahini-soy dressing",άλλαξε εικόνα (AA≠AB)
306,"Vegan Power Bowl με καστανό ρύζι, ψητά λαχανικά, πράσινη σαλάτα, μπρόκολο, χούμους, αβοκάντο,
ντοματίνια και olive oil lemon dressing",άλλαξε εικόνα (AA≠AB)
307,"Sweet Potato Chicken Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, γλυκοπατάτα ψητή, χούμους, αγγούρι, φιστίκι και yogurt dressing",άλλαξε εικόνα (AA≠AB)
308,"Avocado Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, guacamole, κολοκυθόσπορο, ντοματίνια, αγγούρι και mango-lime dressing",άλλαξε εικόνα (AA≠AB)
309,"Protein Mix Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, τόνος, χούμους, ντοματίνια, αγγούρι, κόλιανδρο, πίκλα κόκκινο κρεμμύδι και olive oil lemon dressing",άλλαξε εικόνα (AA≠AB)
310,"Green Fitness Bowl με πράσινη σαλάτα, φαγόπυρο, κινόα, κοτόπουλο σχάρας, αβοκάντο,
αγγούρι, φράουλες, ντοματίνια και olive oil lemon dressing",άλλαξε εικόνα (AA≠AB)
